bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
6099,Murchison,-26.8956,115.9567,WA,"rain gauge;",data,Murchison River,Bureau of meteorology,2024/10/10 00:00:00,8198
6103,Middalya,-23.9064,114.7681,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8199
6104,Minnie Creek Airstrip,-24.0297,115.6894,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8200
6105,Shark Bay Airport,-25.8925,113.5772,WA,"rain gauge;",data,Wooramel River,Bureau of Meteorology,2024/10/10 00:00:00,8201
6106,Mooloo Downs,-25.037,115.994,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8202
6111,Winderie Airstrip,-25.3097,115.145,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8203
6112,Lyons River Airstrip,-24.62,115.3347,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8204
7003,Beringarra,-26.0417,116.9528,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8205
7007,Boolardy,-26.9839,116.5353,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8206
7017,Cue,-27.425,117.8936,WA,"rain gauge;",data,Salt Lake,Private owner,2024/10/10 00:00:00,8207
7019,Bulloo Downs,-24.0019,119.5725,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8208
7023,Doolgunna,-25.6864,119.2258,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8209
7027,Gabyon,-28.2494,116.34,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8210
7028,Wanna,-24.0469,116.2181,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8211
7030,Judal Station,-26.1142,117.5047,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8212
7034,Jingemarra,-27.7444,116.7439,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8213
7037,Kirkalocka,-28.5564,117.7803,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8214
7045,Meekatharra Airport,-26.6136,118.5372,WA,"rain gauge;",data,Murchison River,Bureau of Meteorology,2024/10/10 00:00:00,8215
7048,Meka Station,-27.4222,116.825,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8216
7049,Mileura,-26.3736,117.3339,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8217
7050,Milgun,-25.0942,118.2983,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8218
7052,Moorarie,-25.9214,117.6,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8219
7053,Mount Augustus,-24.3086,116.9111,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8220
7055,Mount Gould,-25.8058,117.3905,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8221
7058,Mount Phillip,-24.4,116.3078,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8222
7059,Mount Vernon,-24.2297,118.2408,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8223
7068,Ninghan Station,-29.425,117.2906,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8224
7072,Pullagaroo,-29.1886,117.9222,WA,"rain gauge;",data,Ninghan,Private owner,2024/10/10 00:00:00,8225
7079,Sylvania,-23.5867,120.0517,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8226
7080,Three Rivers,-25.1256,119.1514,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8227
7081,Thundelarra,-28.8928,117.1333,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8228
7082,Tuckanarra,-27.1192,118.0842,WA,"rain gauge;",data,Salt Lake,Private owner,2024/10/10 00:00:00,8229
7083,Turee Creek,-23.6239,118.6561,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8230
7089,Wooleen,-27.0878,116.1606,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8231
7091,Yalgoo,-28.3386,116.6825,WA,"rain gauge;",data,Yarra Yarra Lakes,Bureau of meteorology,2024/10/10 00:00:00,8232
7094,Yinnetharra,-24.651,116.165,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8233
7100,Mount Padbury,-25.6933,118.0803,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8234
